username, created_at, lng, lat, text
giselleeeeG, Wed Jan 20 18:59:44 +0000 2021, -97.168476, 26.114736, Why is my lactose intolerant ass addicted to blue cheese crumbles 
LisaAnnAvery, Wed Jan 20 18:59:44 +0000 2021, -86.760091, 33.385555, Let them throw us all in prison. We will have more time to plan from there. #MAGA 
Ferdie_Youtube, Wed Jan 20 18:59:44 +0000 2021, -73.849441, 40.850347, @madridstarkg @realmadriden @CD_Alcoyano You aint like compliments? 
kennedipeters, Wed Jan 20 18:59:44 +0000 2021, -92.061177, 30.206079, entered the dub club yesterday 😩 #birthday https://t.co/9v71vVnhpy 
Guiller95683069, Wed Jan 20 18:59:44 +0000 2021, -83.804475, 27.698682, @Tomarie7 Sin duda el mejor 
andyway22, Wed Jan 20 18:59:44 +0000 2021, -97.754724, 30.323346, The hope for a better decade and a better future #HookEm🤘🏻 #America 🇺🇸 https://t.co/zwilYcdmgB 
CBRB_Glendale, Wed Jan 20 18:59:44 +0000 2021, -118.253900, 34.146500, Just Listed! Prestigious Glendale Chevy Chase Canyon Location 🤩📍Glendale, CA 91206🏡 approx 2,140 sqft🛌 4 beds🛀… https://t.co/UmBU31KY69 
bbylove60, Wed Jan 20 18:59:44 +0000 2021, -117.022695, 38.502147, @itscaelen Let’s dooo it 
904Skrilla, Wed Jan 20 18:59:44 +0000 2021, -84.532133, 33.948124, We minding our business watching the inauguration &amp; get attacked smh 
maine_trash, Wed Jan 20 18:59:44 +0000 2021, -70.292545, 43.696187, @LikeKierkegaard on point👌🏽 
tstrey2, Wed Jan 20 18:59:44 +0000 2021, -119.306608, 37.269176, @24Jondo91 @sameer_11 I have zero. We making bets 👀 
smcdonald413, Wed Jan 20 18:59:44 +0000 2021, -70.137467, 41.670383, ‘A big download of beauty” @VanJones68 Agree. Could not have been more beautiful. ❤️ 
marcotorralva8, Wed Jan 20 18:59:44 +0000 2021, -119.782465, 36.786042, Remember when trump invited the Clemson football team to the White House after they won the national championship a… https://t.co/O1AveNuwHh 
BrookeButlerTV, Wed Jan 20 18:59:44 +0000 2021, -81.109617, 32.017285, @_piggi52 @WJCLNews Thank you😊 
bubbleyummama, Wed Jan 20 18:59:44 +0000 2021, -104.922093, 39.713563, @teachaged Yes we are!!! 
jceballor87, Wed Jan 20 18:59:44 +0000 2021, -118.411907, 34.020789, I tuned in just in time for this wonderful moment! 
davidguzmaann02, Wed Jan 20 18:59:44 +0000 2021, -119.306608, 37.269176, 😹💯 
_Jazmine5, Wed Jan 20 18:59:44 +0000 2021, -97.861883, 27.500593, &amp; then there’s me, buying both!🤣 
TakeNotesBihhh, Wed Jan 20 18:59:45 +0000 2021, -73.968542, 40.780709, @JaszmineDenisee Sexy either way 
jayde_claire, Wed Jan 20 18:59:45 +0000 2021, -91.730936, 35.238323, @channingtatum Order another MRI of my Lower Back he is awesome called in pain medicine for now and after the MRI s… https://t.co/dVPiPKESH8 
CandaceCanady, Wed Jan 20 18:59:45 +0000 2021, -75.770041, 42.746617, J-SahnDestairsbro 😂 
m_parker98, Wed Jan 20 18:59:45 +0000 2021, -82.717093, 28.248530, If I see the same post on Facebook one more time, I might lose my shit 
keithdsarto, Wed Jan 20 18:59:45 +0000 2021, -81.194850, 34.109023, @WhiteHouse45 Congratulations to President Biden! 
politicophil, Wed Jan 20 18:59:45 +0000 2021, -80.141800, 26.135800, History Made and the  Restoration of the Soul of America  is  now  in progress . God Bless @ Fort Lauderdale, Flori… https://t.co/cObpUQShZm 
HollywoodTyrone, Wed Jan 20 18:59:45 +0000 2021, -88.161555, 30.683649, Gotta give a S/O to Trump tho for the A1 entertainment and countless memes over the last 4 years truly a TRANSCENDENT President 
lorenaamez, Wed Jan 20 18:59:45 +0000 2021, -116.815918, 36.370560, Death Valley National Park https://t.co/CcZMrntgLV 
AriesInBklyn, Wed Jan 20 18:59:45 +0000 2021, -73.948775, 40.655138, @RockRockafella https://t.co/B2To8rlss1 
DevonteBrewer24, Wed Jan 20 18:59:45 +0000 2021, -100.076888, 31.168893, @The_MRKD24 @jalenbaldwin9 Can I get those shoes! 
anthony59857353, Wed Jan 20 18:59:45 +0000 2021, -74.188035, 40.001340, @saylahachey Monster 
QueenDC63, Wed Jan 20 18:59:45 +0000 2021, -94.559281, 39.100048, @MaryLTrump I'm trying to tell you that's exactly where he belongs 
finesttgem, Wed Jan 20 18:59:45 +0000 2021, -86.119013, 33.436509, @dahomegirlky_ oh no🥺 
dezimondcaban, Wed Jan 20 18:59:45 +0000 2021, -73.849441, 40.850347, PA FUERAA SEÑOR CHEETO We welcome you @JoeBiden #Inauguration2021 
GolfsoupJones, Wed Jan 20 18:59:45 +0000 2021, -95.770195, 36.039305, #turftwitter https://t.co/jO6trtmoBG 
windsorchrome, Wed Jan 20 18:59:45 +0000 2021, -83.002085, 42.295065, @tradertvneal Hoping for it to bounce back up 
ECochnar, Wed Jan 20 18:59:46 +0000 2021, -106.632718, 35.117002, @indieimmy @shooterkriegler @Mucky1 👍 
Tonynana101, Wed Jan 20 18:59:46 +0000 2021, -73.948775, 40.655138, @ladygaga Love 💕 
JessieBrewer, Wed Jan 20 18:59:46 +0000 2021, -77.236969, 38.805115, @girlsreallyrule @tamarabrock https://t.co/LOvZlpdcko 
Fury7v7, Wed Jan 20 18:59:46 +0000 2021, -95.446486, 29.838495, Loyalty, Duty, Respect, Selfless Service, Honor, Integrity, and Personal Courage is the cornerstone of our program!… https://t.co/sq51wgdXPc 
JonesMiddleArt, Wed Jan 20 18:59:46 +0000 2021, -95.259525, 29.993184, Awesome kids we have @JonesMS_AISD ❤️❤️❤️ 
BRIGHTPRIMATE, Wed Jan 20 18:59:46 +0000 2021, -80.271087, 25.699448, nobody needs my takes in here but good god what a deep palpable sense of relief 
nolimityeff, Wed Jan 20 18:59:46 +0000 2021, -73.849441, 40.850347, Mood https://t.co/bTF8MrrGo2 
Bossman_10K, Wed Jan 20 18:59:46 +0000 2021, -93.361321, 46.441861, The face of a dead man https://t.co/9DtJtwufx6 
BenTorres3, Wed Jan 20 18:59:46 +0000 2021, -75.770041, 42.746617, @harleighh4 @aaron_1015 @bobbie_king16 I’m thinking like 1-2 in the afternoon 
SonjuiKumar, Wed Jan 20 18:59:46 +0000 2021, -84.433106, 33.767195, “And so we lift our gaze, not to what stands between us, but what stands before us.”@TheAmandaGorman 
